Modèle,MAE,RMSE,sMAPE (%)
Naïf saisonnier (7j),145.22411474675033,244.95200547109624,29.026067808989463
Moyenne pondérée (4sem),131.13854773644104,225.8032881602288,25.24202538730998
XGBoost + Features,142.1668850230603,221.06549660598162,28.163532964023215
